cgpa,dsa_questions,coding_skill,aptitude_score,communication_skill,projects,internships,mock_interviews,resume_score,weekly_prep_hours,readiness_score
8.870,139.852,6.000,95.614,5.000,3.000,0.000,6.000,96.992,18.407,59.858
7.194,312.670,8.000,74.402,2.000,1.000,1.000,4.000,50.404,15.690,53.530
9.293,122.688,10.000,31.727,5.000,4.000,1.000,3.000,80.118,13.805,64.265
8.487,270.790,9.000,64.979,5.000,2.000,1.000,5.000,38.080,7.726,62.827
5.471,136.007,7.000,40.707,4.000,2.000,0.000,6.000,83.636,13.863,51.410
9.878,358.479,6.000,33.345,6.000,1.000,2.000,9.000,49.304,18.517,69.926
8.806,31.142,4.000,71.896,4.000,2.000,0.000,5.000,87.016,28.897,53.482
8.930,62.054,2.000,84.385,4.000,2.000,1.000,3.000,97.829,15.517,46.727
5.641,166.330,8.000,32.524,8.000,3.000,0.000,3.000,37.940,16.883,54.818
7.252,106.173,1.000,84.851,3.000,4.000,1.000,6.000,58.919,24.199,50.248
6.854,132.718,7.000,79.447,4.000,1.000,1.000,6.000,81.526,19.022,58.110
9.634,292.498,5.000,82.639,2.000,3.000,1.000,6.000,99.768,31.022,65.038
8.219,130.498,8.000,47.131,7.000,2.000,1.000,6.000,58.598,11.525,60.733
9.114,235.121,10.000,57.552,8.000,1.000,1.000,7.000,99.674,9.144,67.529
7.217,88.095,6.000,38.383,7.000,1.000,0.000,1.000,93.447,17.054,47.946
6.136,23.946,6.000,46.722,2.000,3.000,2.000,1.000,81.755,11.874,50.088
7.773,311.359,5.000,51.195,5.000,0.000,0.000,5.000,59.823,6.732,44.253
5.319,561.093,4.000,52.361,3.000,1.000,0.000,7.000,69.899,37.822,50.957
9.138,217.979,1.000,42.253,8.000,3.000,1.000,4.000,81.823,16.433,56.919
8.158,173.296,1.000,43.210,4.000,4.000,0.000,4.000,79.572,51.834,50.070
8.790,201.686,8.000,93.103,5.000,5.000,0.000,5.000,53.746,6.442,62.115
6.773,445.262,10.000,84.873,5.000,4.000,1.000,9.000,71.219,8.023,77.931
9.853,219.857,1.000,54.113,8.000,2.000,0.000,5.000,89.277,4.848,48.493
9.466,321.687,4.000,96.335,8.000,1.000,0.000,3.000,65.880,24.831,63.002
8.892,312.091,7.000,46.725,9.000,3.000,2.000,6.000,71.806,4.256,69.918
5.973,378.847,8.000,58.477,5.000,1.000,0.000,5.000,56.290,15.235,59.702
7.334,170.479,8.000,86.947,9.000,3.000,1.000,4.000,45.407,7.125,62.830
5.219,121.352,7.000,61.002,9.000,1.000,1.000,2.000,39.289,16.103,50.521
5.771,272.886,1.000,46.424,6.000,0.000,3.000,2.000,61.394,19.932,50.186
8.415,361.173,3.000,55.797,7.000,2.000,2.000,6.000,76.065,14.139,68.388
8.724,407.363,5.000,65.050,10.000,5.000,1.000,4.000,84.401,23.198,75.862
9.838,481.308,1.000,73.445,9.000,4.000,2.000,3.000,40.464,32.082,70.598
6.629,339.676,4.000,58.392,3.000,4.000,1.000,5.000,55.702,5.589,59.657
6.852,115.960,4.000,60.191,8.000,3.000,0.000,4.000,87.514,12.574,48.767
7.348,217.791,10.000,48.476,5.000,3.000,2.000,7.000,42.297,22.040,73.708
5.947,204.088,4.000,67.474,2.000,2.000,1.000,4.000,99.563,5.919,49.011
5.650,188.171,10.000,45.362,4.000,3.000,1.000,7.000,76.125,38.763,63.842
7.379,273.267,8.000,90.727,10.000,2.000,4.000,7.000,96.101,12.484,77.924
6.135,158.776,7.000,82.316,10.000,4.000,1.000,6.000,82.468,41.880,75.969
8.349,158.954,9.000,58.720,8.000,1.000,0.000,3.000,97.652,5.307,51.374
7.186,583.151,9.000,82.306,10.000,2.000,1.000,5.000,78.247,25.714,83.036
9.163,177.264,3.000,30.490,6.000,3.000,2.000,8.000,52.425,9.420,60.015
8.501,377.031,5.000,54.114,8.000,1.000,1.000,4.000,87.018,14.670,63.663
6.562,391.602,6.000,60.821,2.000,1.000,1.000,2.000,49.695,20.662,55.358
9.161,222.132,10.000,62.886,3.000,2.000,0.000,3.000,71.725,24.513,61.651
9.024,163.767,1.000,82.411,2.000,4.000,0.000,2.000,59.248,18.781,48.880
6.937,91.251,5.000,97.397,10.000,4.000,1.000,5.000,86.942,14.222,64.028
6.442,41.191,3.000,56.600,7.000,1.000,1.000,4.000,84.367,15.905,44.870
